feature,bin,count,mean_return,median_return,win_rate
ma_slope,6,17,0.0006061265243155644,-0.000497217466096914,0.4117647058823529
ma_slope,7,17,0.001023088727559498,0.0006229478382705237,0.5882352941176471
ma_slope,8,17,0.0006815653354045425,0.00038115078417516677,0.6470588235294118
ma_slope,9,17,0.0005789781599663705,0.0009594643163069764,0.7058823529411765
adx_14,0,17,0.00014849889821154808,-0.0005498611782156658,0.35294117647058826
adx_14,1,17,0.000629141480115122,0.0006639601415218158,0.6470588235294118
adx_14,2,17,0.0006473980087789144,0.000571490134286842,0.7058823529411765
adx_14,3,17,0.0007414004794116022,0.0004901757818370236,0.5294117647058824
adx_14,4,17,0.00016440000930345277,-0.0002251442863035278,0.47058823529411764
adx_14,5,16,0.0008297259678347913,0.0006759410617827475,0.625
adx_14,6,17,0.00017636623103324883,-0.000262904131901681,0.47058823529411764
adx_14,7,17,0.0004376859923926513,0.00027708774385813446,0.5294117647058824
adx_14,8,17,0.0008504883486088872,0.0006660917263797703,0.5882352941176471
adx_14,9,17,0.00016273015804266756,0.000247396567090258,0.5294117647058824
adx_slope,0,17,0.001010378200051815,0.0009362994187480959,0.6470588235294118
adx_slope,1,17,0.0007596982387264625,0.0006144936782785946,0.7647058823529411
adx_slope,2,17,9.280990239018619e-05,-0.00036731833408638155,0.35294117647058826
adx_slope,3,17,0.00015403423308504234,-0.0005619657231882657,0.35294117647058826
adx_slope,4,17,0.00037613454698680397,0.000247396567090258,0.5294117647058824
adx_slope,5,16,0.00022289255085856938,0.00047652140175673426,0.5625
adx_slope,6,17,0.000632123661884115,0.0007485209998889268,0.5294117647058824
adx_slope,7,17,0.0003173923112751094,0.0007867151887362813,0.5882352941176471
adx_slope,8,17,0.0007172810806828127,0.0006229478382705237,0.5882352941176471
adx_slope,9,17,0.000469394764440427,0.00027708774385813446,0.5294117647058824
trend_variance_ratio,0,17,0.0006017623983205927,0.0008067137726526237,0.5882352941176471
trend_variance_ratio,1,17,0.0004871869592154574,0.000571490134286842,0.6470588235294118
trend_variance_ratio,2,17,0.00029235258256550117,0.00038115078417516677,0.5294117647058824
trend_variance_ratio,3,17,0.0001707808418719646,-0.00014767613204950448,0.4117647058823529
trend_variance_ratio,4,17,0.00041535725589079167,-0.0003718115076530369,0.47058823529411764
trend_variance_ratio,5,16,9.795691657159863e-05,-0.0001604058596697254,0.4375
trend_variance_ratio,6,17,0.0001222033061061541,0.000426403625331734,0.5294117647058824
trend_variance_ratio,7,17,0.000768807775117933,0.00018151934389019648,0.5294117647058824
trend_variance_ratio,8,17,0.0014797240199635406,0.0010547779113505027,0.6470588235294118
trend_variance_ratio,9,17,0.00030865827979975255,0.0008450317634096103,0.6470588235294118
range_ratio,0,17,0.00098089501633052,0.0010441896918986235,0.5882352941176471
range_ratio,1,17,0.00013119030190383775,0.0004901757818370236,0.5882352941176471
range_ratio,2,17,-0.00014977522491471442,-0.00023258511604510636,0.35294117647058826
range_ratio,3,17,0.0003816519401162225,0.000426403625331734,0.5294117647058824
range_ratio,4,17,0.0007043731521412072,0.0005718920193383017,0.5882352941176471
range_ratio,5,16,0.0004669369034912426,5.19055306864415e-05,0.5
range_ratio,6,17,0.0005960839583066252,0.0007289342852949713,0.6470588235294118
range_ratio,7,17,0.0006423576816454988,0.000541179426482131,0.5882352941176471
range_ratio,8,17,0.0007350742698366267,0.0006144936782785946,0.5294117647058824
range_ratio,9,17,0.0002777070416791402,0.000571490134286842,0.5294117647058824
atr_percentile,0,17,8.94203166536802e-05,-0.00014753503685419934,0.47058823529411764
atr_percentile,1,17,0.0007090835131049332,0.00018151934389019648,0.5294117647058824
atr_percentile,2,17,-0.00014331690321270937,-0.0007204083408028426,0.29411764705882354
atr_percentile,3,17,0.0003158834689301643,-0.00027634073218298343,0.47058823529411764
atr_percentile,4,18,0.0008599501451308366,0.000798287699467856,0.6666666666666666
atr_percentile,5,15,0.0005269521682106875,0.0007867151887362813,0.6
atr_percentile,6,17,0.001372380247612947,0.0010547779113505027,0.7058823529411765
atr_percentile,7,17,0.000642549562712235,0.0006660917263797703,0.5882352941176471
atr_percentile,8,17,9.748346196407229e-05,0.000247396567090258,0.5294117647058824
atr_percentile,9,17,0.0002800512528293186,0.0009105255888632617,0.5882352941176471
atr_ratio,0,17,0.00011201037805754533,-0.00023258511604510636,0.4117647058823529
atr_ratio,1,17,0.0008112088270121008,0.0006229478382705237,0.6470588235294118
atr_ratio,2,17,0.0004512180622240551,0.0006660917263797703,0.6470588235294118
atr_ratio,3,17,0.0006209595239884872,0.0004901757818370236,0.5294117647058824
atr_ratio,4,17,0.0004266684491481448,7.762925272925068e-05,0.5294117647058824
atr_ratio,5,16,0.00021961602091851424,-0.0006385292377427524,0.4375
atr_ratio,6,17,6.654873304647459e-06,-0.000262904131901681,0.4117647058823529
atr_ratio,7,17,0.0010274910691366822,0.001101220030265723,0.7647058823529411
atr_ratio,8,17,0.00026095440893482056,-0.000497217466096914,0.35294117647058826
atr_ratio,9,17,0.0008151651406010483,0.0009362994187480959,0.7058823529411765
atr_expansion_recent,0,17,7.523258995956314e-05,-0.00014753503685419934,0.47058823529411764
atr_expansion_recent,1,17,0.0012071460409579762,0.0008624293532754372,0.7647058823529411
atr_expansion_recent,2,17,-0.0002351401627843666,-0.0005498611782156658,0.29411764705882354
atr_expansion_recent,3,17,0.0006505957483612183,0.001066568080917099,0.5882352941176471
atr_expansion_recent,4,17,0.0007225459322501211,0.001101220030265723,0.6470588235294118
atr_expansion_recent,5,16,0.00023551438846045592,-0.000296325526878589,0.4375
atr_expansion_recent,6,17,0.0004090544463325613,-0.00011085596950381239,0.47058823529411764
atr_expansion_recent,7,17,0.00036493580292963347,0.00044805106696283153,0.5294117647058824
atr_expansion_recent,8,17,0.0007592676572216166,0.0007485209998889268,0.6470588235294118
atr_expansion_recent,9,17,0.0005637295077279689,0.000571490134286842,0.5882352941176471
breakout_strength_atr_mult,0,17,1.689615700675054e-05,-0.0007204083408028426,0.4117647058823529
breakout_strength_atr_mult,1,17,0.0006298910198190235,0.0006144936782785946,0.5882352941176471
breakout_strength_atr_mult,2,17,0.0012357514324720167,0.001320754103333083,0.7058823529411765
breakout_strength_atr_mult,3,17,0.001115846083840151,0.001066568080917099,0.8235294117647058
breakout_strength_atr_mult,4,17,-0.0003412279657974606,-0.0006730376329582654,0.35294117647058826
breakout_strength_atr_mult,5,16,0.000609517007396933,-0.0005458634917741277,0.4375
breakout_strength_atr_mult,6,17,0.0009877589717442684,0.0010547779113505027,0.7058823529411765
breakout_strength_atr_mult,7,17,-3.317342776941104e-05,-0.0002251442863035278,0.4117647058823529
breakout_strength_atr_mult,8,17,0.00029023986563689606,0.00018151934389019648,0.5294117647058824
breakout_strength_atr_mult,9,17,0.00026338296112266783,-0.00027634073218298343,0.47058823529411764
breakout_velocity,0,17,-7.14931509144121e-05,-0.0002208395461041411,0.4117647058823529
breakout_velocity,1,17,0.0014062961604996585,0.001114327059126871,0.8235294117647058
breakout_velocity,2,17,0.0010378334883425146,0.0009105255888632617,0.7647058823529411
breakout_velocity,3,17,0.000519004966896373,0.0006229478382705237,0.5882352941176471
breakout_velocity,4,17,0.00025700655317361087,7.762925272925068e-05,0.5294117647058824
breakout_velocity,5,16,4.77390060176731e-05,0.00010172942962231559,0.5
breakout_velocity,6,17,0.00047570451682470263,0.00038115078417516677,0.5882352941176471
breakout_velocity,7,17,0.0004166401041228437,-0.00033127199470086004,0.35294117647058826
