symbol,fold_id,baseline_sharpe,meta_sharpe,delta_sharpe,baseline_expectancy,meta_expectancy,delta_expectancy,baseline_max_dd,meta_max_dd,delta_max_dd,baseline_trade_count,meta_trade_count,delta_trade_count
AUDUSD,13,-0.5746307422204252,-0.5746307422204252,0.0,0.0011690402312084904,0.0011690402312084904,0.0,-0.0040080909806657905,-0.0040080909806657905,0.0,4.0,4.0,0.0
AUDUSD,14,-4.195825627241729,-4.195825627241729,0.0,-0.00033127199470086004,-0.00033127199470086004,0.0,-0.0018422232781079018,-0.0018422232781079018,0.0,1.0,1.0,0.0
EURUSD,0,1.4213029902709733,0.7147345747888858,-0.7065684154820875,0.0009878797880180097,0.0009260890651080607,-6.179072290994896e-05,-0.005199253026922035,-0.004367772880263021,0.0008314801466590138,6.0,5.0,-1.0
EURUSD,1,6.876979700502069,6.876979700502069,0.0,0.0021535190623041,0.0021535190623041,0.0,-0.0021320602091842167,-0.0021320602091842167,0.0,5.0,5.0,0.0
EURUSD,2,-0.23673414561909084,-0.23673414561909084,0.0,0.00023306373766848512,0.00023306373766848512,0.0,-0.003176650984669349,-0.003176650984669349,0.0,3.0,3.0,0.0
EURUSD,3,4.847951618340369,4.847951618340369,0.0,0.0023878059444895914,0.0023878059444895914,0.0,-0.0017449039240067243,-0.0017449039240067243,0.0,2.0,2.0,0.0
EURUSD,4,-1.8189160893602245,-1.8189160893602245,0.0,0.00039419914081394235,0.00039419914081394235,0.0,-0.004599149643740641,-0.004599149643740641,0.0,4.0,4.0,0.0
EURUSD,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EURUSD,6,-5.381611472979248,-6.3771034782299765,-0.9954920052507283,-0.00016112206130062558,-0.0003015823588571769,-0.0001404602975565513,-0.007576109195010505,-0.007576109195010505,0.0,6.0,5.0,-1.0
EURUSD,7,0.26497528821423627,0.26497528821423627,0.0,0.0009739515606674182,0.0009739515606674182,0.0,-0.003460805308601933,-0.003460805308601933,0.0,3.0,3.0,0.0
EURUSD,8,4.372523046313633,4.372523046313633,0.0,0.0024737083807085092,0.0024737083807085092,0.0,-0.0022433317484773507,-0.0022433317484773507,0.0,3.0,3.0,0.0
EURUSD,9,0.10053926390860078,0.10053926390860078,0.0,0.00111101382480382,0.00111101382480382,0.0,-0.004744209952933454,-0.004744209952933454,0.0,5.0,5.0,0.0
EURUSD,10,-7.06869737588444,-7.06869737588444,0.0,-0.0009153870975836526,-0.0009153870975836526,0.0,-0.006489802200285166,-0.006489802200285166,0.0,3.0,3.0,0.0
EURUSD,11,0.41076409898538635,0.41076409898538635,0.0,0.0006206878046271953,0.0006206878046271953,0.0,-0.0020809445328857645,-0.0020809445328857645,0.0,3.0,3.0,0.0
