symbol,fold_id,model,feature,importance,abs_importance,tree_text
GBPUSD,7,logistic_primary,breakout_velocity,-0.18797008695695278,0.18797008695695278,
GBPUSD,7,logistic_primary,early_return_1,-0.4348342845609393,0.4348342845609393,
GBPUSD,7,logistic_primary,early_return_3,0.30840749108274756,0.30840749108274756,
GBPUSD,7,logistic_primary,early_volatility,-0.20198375866571971,0.20198375866571971,
GBPUSD,7,logistic_primary,early_range_expansion,0.49201040254352574,0.49201040254352574,
GBPUSD,7,logistic_primary,early_mfe,1.004191786325662,1.004191786325662,
GBPUSD,7,logistic_primary,early_mae,-0.7755970415344523,0.7755970415344523,
GBPUSD,7,logistic_primary,early_slope,0.7634410596150067,0.7634410596150067,
GBPUSD,7,logistic_primary,volatility_spike_flag,0.0,0.0,
GBPUSD,7,tree_snapshot,__tree_text__,,,"|--- early_mfe <= 0.00
|   |--- class: 0
|--- early_mfe >  0.00
|   |--- class: 1
"
GBPUSD,8,logistic_primary,tsmom_24,-0.024871829801702054,0.024871829801702054,
GBPUSD,8,logistic_primary,tsmom_48,-0.28232137954139436,0.28232137954139436,
GBPUSD,8,logistic_primary,tsmom_72,0.01934045823946138,0.01934045823946138,
GBPUSD,8,logistic_primary,tsmom_avg,-0.11210604366608132,0.11210604366608132,
GBPUSD,8,logistic_primary,vr_6,-0.17443807485916435,0.17443807485916435,
GBPUSD,8,logistic_primary,vr_12,0.7781265802027416,0.7781265802027416,
GBPUSD,8,logistic_primary,vr_24,0.10740722980393136,0.10740722980393136,
GBPUSD,8,logistic_primary,ma_spread,0.03392674359786747,0.03392674359786747,
GBPUSD,8,logistic_primary,ma_slope,0.07677725634112802,0.07677725634112802,
GBPUSD,8,logistic_primary,adx_14,0.008589399981423974,0.008589399981423974,
GBPUSD,8,logistic_primary,adx_slope,0.5616157665648125,0.5616157665648125,
GBPUSD,8,logistic_primary,trend_variance_ratio,-0.23125088466547458,0.23125088466547458,
GBPUSD,8,logistic_primary,range_ratio,0.016119911016397384,0.016119911016397384,
GBPUSD,8,logistic_primary,atr_percentile,-0.12692277770289193,0.12692277770289193,
GBPUSD,8,logistic_primary,atr_ratio,-0.2690565440998728,0.2690565440998728,
GBPUSD,8,logistic_primary,atr_expansion_recent,0.035786817884834024,0.035786817884834024,
GBPUSD,8,logistic_primary,breakout_strength_atr_mult,-0.527925576807529,0.527925576807529,
GBPUSD,8,logistic_primary,breakout_velocity,-0.06988578395400256,0.06988578395400256,
GBPUSD,8,logistic_primary,early_return_1,-0.44337055799817027,0.44337055799817027,
GBPUSD,8,logistic_primary,early_return_3,0.23655242050767186,0.23655242050767186,
GBPUSD,8,logistic_primary,early_volatility,0.09884820667944365,0.09884820667944365,
GBPUSD,8,logistic_primary,early_range_expansion,0.41714394704963587,0.41714394704963587,
GBPUSD,8,logistic_primary,early_mfe,1.0380523471385006,1.0380523471385006,
GBPUSD,8,logistic_primary,early_mae,-0.8086797209848537,0.8086797209848537,
GBPUSD,8,logistic_primary,early_slope,0.8800513797600342,0.8800513797600342,
GBPUSD,8,logistic_primary,volatility_spike_flag,0.0,0.0,
GBPUSD,8,tree_snapshot,__tree_text__,,,"|--- early_slope <= 0.00
|   |--- class: 0
|--- early_slope >  0.00
|   |--- class: 1
"
GBPUSD,9,logistic_primary,tsmom_24,0.05819633042846102,0.05819633042846102,
GBPUSD,9,logistic_primary,tsmom_48,-0.05315386067383267,0.05315386067383267,
GBPUSD,9,logistic_primary,tsmom_72,0.022625817031329792,0.022625817031329792,
