symbol,fold_id,split,entry_time,follow_through_probability,actual_label,actual_return,allow_trade
AUDUSD,6,test,2020-08-11 06:00:00+00:00,0.5,0,-0.0009341243190098712,1
AUDUSD,6,test,2020-08-20 21:00:00+00:00,0.5,0,-0.0005498611782156658,1
AUDUSD,7,test,2020-08-31 02:00:00+00:00,0.5,0,-0.001441011399242481,1
AUDUSD,7,test,2020-09-01 23:00:00+00:00,0.5,0,-0.001179651015338584,1
AUDUSD,8,test,2020-09-23 14:00:00+00:00,0.5,1,0.005969298196247125,1
AUDUSD,8,test,2020-09-28 21:00:00+00:00,0.5,1,0.0034452049727130398,1
AUDUSD,8,test,2020-10-07 12:00:00+00:00,0.5,1,0.0007867151887362813,1
AUDUSD,9,test,2020-10-14 07:00:00+00:00,0.5,0,-0.0008942914272465239,1
AUDUSD,9,test,2020-10-17 13:00:00+00:00,0.5,1,-0.000262904131901681,1
AUDUSD,9,test,2020-10-24 13:00:00+00:00,0.5,0,0.001222419852615825,1
AUDUSD,10,test,2020-11-01 20:00:00+00:00,0.5,0,-0.0007155478370323319,1
AUDUSD,10,test,2020-11-11 15:00:00+00:00,0.5,0,-0.00017327668248525146,1
AUDUSD,10,test,2020-11-13 20:00:00+00:00,0.5,0,0.0008360287497586162,1
AUDUSD,11,test,2020-11-23 05:00:00+00:00,0.5,1,0.00027708774385813446,1
AUDUSD,11,test,2020-12-01 19:00:00+00:00,0.5,0,-0.001014124244168818,1
AUDUSD,11,test,2020-12-04 22:00:00+00:00,0.5,1,0.0016459324314695824,1
AUDUSD,12,test,2020-12-14 15:00:00+00:00,0.5,1,0.0007870809646612744,1
AUDUSD,12,test,2020-12-20 05:00:00+00:00,0.5,1,-0.00013650189432614073,1
AUDUSD,13,test,2021-01-03 06:00:00+00:00,0.5,1,0.0014251222114391839,1
AUDUSD,13,test,2021-01-12 13:00:00+00:00,0.5,1,0.0024314838303126475,1
AUDUSD,13,test,2021-01-15 22:00:00+00:00,0.5,0,-0.0012394353428011482,1
AUDUSD,13,test,2021-01-20 22:00:00+00:00,0.5,1,0.0020589902258832784,1
AUDUSD,14,test,2021-02-09 10:00:00+00:00,0.5,0,-0.00033127199470086004,1
EURUSD,0,test,2020-04-09 09:00:00+00:00,0.5,0,-0.0012296121261007684,1
EURUSD,0,test,2020-04-10 12:00:00+00:00,0.5,1,0.001471980412313557,1
EURUSD,0,test,2020-04-16 03:00:00+00:00,0.5,0,0.005786443235702488,1
EURUSD,0,test,2020-04-20 15:00:00+00:00,0.5,1,-0.000497217466096914,1
EURUSD,0,test,2020-04-22 01:00:00+00:00,0.5,1,-0.0009011487302780595,1
EURUSD,0,test,2020-04-24 10:00:00+00:00,0.5,0,0.001296833402567755,0
EURUSD,1,test,2020-04-29 19:00:00+00:00,0.5,0,0.002120703934251956,1
EURUSD,1,test,2020-05-09 09:00:00+00:00,0.5,1,0.0010441896918986235,1
